Abbreviation,DriverId,TeamName,Points,Round,Session
STR,stroll,Aston Martin,6.0,12,Race
ALB,albon,Williams,4.0,12,Race
ALO,alonso,Aston Martin,2.0,12,Race
RUS,russell,Mercedes,1.0,12,Race
BEA,bearman,Haas F1 Team,0.0,12,Race
SAI,sainz,Williams,0.0,12,Race
OCO,ocon,Haas F1 Team,0.0,12,Race
LEC,leclerc,Ferrari,0.0,12,Race
TSU,tsunoda,Red Bull Racing,0.0,12,Race
ANT,antonelli,Mercedes,0.0,12,Race
HAD,hadjar,Racing Bulls,0.0,12,Race
BOR,bortoleto,Kick Sauber,0.0,12,Race
LAW,lawson,Racing Bulls,0.0,12,Race
COL,colapinto,Alpine,0.0,12,Race
PIA,piastri,McLaren,25.0,13,Race
NOR,norris,McLaren,18.0,13,Race
LEC,leclerc,Ferrari,15.0,13,Race
VER,max_verstappen,Red Bull Racing,12.0,13,Race
RUS,russell,Mercedes,10.0,13,Race
ALB,albon,Williams,8.0,13,Race
HAM,hamilton,Ferrari,6.0,13,Race
LAW,lawson,Racing Bulls,4.0,13,Race
BOR,bortoleto,Kick Sauber,2.0,13,Race
GAS,gasly,Alpine,1.0,13,Race
BEA,bearman,Haas F1 Team,0.0,13,Race
HUL,hulkenberg,Kick Sauber,0.0,13,Race
TSU,tsunoda,Red Bull Racing,0.0,13,Race
STR,stroll,Aston Martin,0.0,13,Race
OCO,ocon,Haas F1 Team,0.0,13,Race
ANT,antonelli,Mercedes,0.0,13,Race
ALO,alonso,Aston Martin,0.0,13,Race
SAI,sainz,Williams,0.0,13,Race
COL,colapinto,Alpine,0.0,13,Race
HAD,hadjar,Racing Bulls,0.0,13,Race
NOR,norris,McLaren,25.0,14,Race
PIA,piastri,McLaren,18.0,14,Race
RUS,russell,Mercedes,15.0,14,Race
LEC,leclerc,Ferrari,12.0,14,Race
ALO,alonso,Aston Martin,10.0,14,Race
BOR,bortoleto,Kick Sauber,8.0,14,Race
STR,stroll,Aston Martin,6.0,14,Race
LAW,lawson,Racing Bulls,4.0,14,Race
VER,max_verstappen,Red Bull Racing,2.0,14,Race
ANT,antonelli,Mercedes,1.0,14,Race
HAD,hadjar,Racing Bulls,0.0,14,Race
HAM,hamilton,Ferrari,0.0,14,Race
HUL,hulkenberg,Kick Sauber,0.0,14,Race
SAI,sainz,Williams,0.0,14,Race
ALB,albon,Williams,0.0,14,Race
OCO,ocon,Haas F1 Team,0.0,14,Race
TSU,tsunoda,Red Bull Racing,0.0,14,Race
COL,colapinto,Alpine,0.0,14,Race
GAS,gasly,Alpine,0.0,14,Race
BEA,bearman,Haas F1 Team,0.0,14,Race
PIA,piastri,McLaren,25.0,15,Race
VER,max_verstappen,Red Bull Racing,18.0,15,Race
HAD,hadjar,Racing Bulls,15.0,15,Race
RUS,russell,Mercedes,12.0,15,Race
ALB,albon,Williams,10.0,15,Race
BEA,bearman,Haas F1 Team,8.0,15,Race
STR,stroll,Aston Martin,6.0,15,Race
ALO,alonso,Aston Martin,4.0,15,Race
TSU,tsunoda,Red Bull Racing,2.0,15,Race
OCO,ocon,Haas F1 Team,1.0,15,Race
COL,colapinto,Alpine,0.0,15,Race
LAW,lawson,Racing Bulls,0.0,15,Race
SAI,sainz,Williams,0.0,15,Race
HUL,hulkenberg,Kick Sauber,0.0,15,Race
BOR,bortoleto,Kick Sauber,0.0,15,Race
ANT,antonelli,Mercedes,0.0,15,Race
GAS,gasly,Alpine,0.0,15,Race
NOR,norris,McLaren,0.0,15,Race
LEC,leclerc,Ferrari,0.0,15,Race
HAM,hamilton,Ferrari,0.0,15,Race
VER,max_verstappen,Red Bull Racing,25.0,16,Race
NOR,norris,McLaren,18.0,16,Race
PIA,piastri,McLaren,15.0,16,Race
LEC,leclerc,Ferrari,12.0,16,Race
RUS,russell,Mercedes,10.0,16,Race
HAM,hamilton,Ferrari,8.0,16,Race
ALB,albon,Williams,6.0,16,Race
BOR,bortoleto,Kick Sauber,4.0,16,Race
ANT,antonelli,Mercedes,2.0,16,Race
HAD,hadjar,Racing Bulls,1.0,16,Race
SAI,sainz,Williams,0.0,16,Race
BEA,bearman,Haas F1 Team,0.0,16,Race
TSU,tsunoda,Red Bull Racing,0.0,16,Race
LAW,lawson,Racing Bulls,0.0,16,Race
OCO,ocon,Haas F1 Team,0.0,16,Race
GAS,gasly,Alpine,0.0,16,Race
COL,colapinto,Alpine,0.0,16,Race
STR,stroll,Aston Martin,0.0,16,Race
ALO,alonso,Aston Martin,0.0,16,Race
HUL,hulkenberg,Kick Sauber,0.0,16,Race
VER,max_verstappen,Red Bull Racing,25.0,17,Race
RUS,russell,Mercedes,18.0,17,Race
SAI,sainz,Williams,15.0,17,Race
ANT,antonelli,Mercedes,12.0,17,Race
LAW,lawson,Racing Bulls,10.0,17,Race
TSU,tsunoda,Red Bull Racing,8.0,17,Race
NOR,norris,McLaren,6.0,17,Race
HAM,hamilton,Ferrari,4.0,17,Race
LEC,leclerc,Ferrari,2.0,17,Race
HAD,hadjar,Racing Bulls,1.0,17,Race
BOR,bortoleto,Kick Sauber,0.0,17,Race
BEA,bearman,Haas F1 Team,0.0,17,Race
ALB,albon,Williams,0.0,17,Race
OCO,ocon,Haas F1 Team,0.0,17,Race
ALO,alonso,Aston Martin,0.0,17,Race
HUL,hulkenberg,Kick Sauber,0.0,17,Race
STR,stroll,Aston Martin,0.0,17,Race
GAS,gasly,Alpine,0.0,17,Race
COL,colapinto,Alpine,0.0,17,Race
PIA,piastri,McLaren,0.0,17,Race
RUS,russell,Mercedes,25.0,18,Race
VER,max_verstappen,Red Bull Racing,18.0,18,Race
NOR,norris,McLaren,15.0,18,Race
PIA,piastri,McLaren,12.0,18,Race
ANT,antonelli,Mercedes,10.0,18,Race
LEC,leclerc,Ferrari,8.0,18,Race
ALO,alonso,Aston Martin,6.0,18,Race
HAM,hamilton,Ferrari,4.0,18,Race
BEA,bearman,Haas F1 Team,2.0,18,Race
SAI,sainz,Williams,1.0,18,Race
HAD,hadjar,Racing Bulls,0.0,18,Race
TSU,tsunoda,Red Bull Racing,0.0,18,Race
STR,stroll,Aston Martin,0.0,18,Race
ALB,albon,Williams,0.0,18,Race
LAW,lawson,Racing Bulls,0.0,18,Race
COL,colapinto,Alpine,0.0,18,Race
BOR,bortoleto,Kick Sauber,0.0,18,Race
OCO,ocon,Haas F1 Team,0.0,18,Race
GAS,gasly,Alpine,0.0,18,Race
HUL,hulkenberg,Kick Sauber,0.0,18,Race
VER,max_verstappen,Red Bull Racing,25.0,19,Race
NOR,norris,McLaren,18.0,19,Race
LEC,leclerc,Ferrari,15.0,19,Race
HAM,hamilton,Ferrari,12.0,19,Race
PIA,piastri,McLaren,10.0,19,Race
RUS,russell,Mercedes,8.0,19,Race
TSU,tsunoda,Red Bull Racing,6.0,19,Race
HUL,hulkenberg,Kick Sauber,4.0,19,Race
BEA,bearman,Haas F1 Team,2.0,19,Race
ALO,alonso,Aston Martin,1.0,19,Race
LAW,lawson,Racing Bulls,0.0,19,Race
STR,stroll,Aston Martin,0.0,19,Race
ANT,antonelli,Mercedes,0.0,19,Race
ALB,albon,Williams,0.0,19,Race
OCO,ocon,Haas F1 Team,0.0,19,Race
HAD,hadjar,Racing Bulls,0.0,19,Race
COL,colapinto,Alpine,0.0,19,Race
BOR,bortoleto,Kick Sauber,0.0,19,Race
GAS,gasly,Alpine,0.0,19,Race
SAI,sainz,Williams,0.0,19,Race
NOR,norris,McLaren,25.0,20,Race
LEC,leclerc,Ferrari,18.0,20,Race
VER,max_verstappen,Red Bull Racing,15.0,20,Race
BEA,bearman,Haas F1 Team,12.0,20,Race
PIA,piastri,McLaren,10.0,20,Race
ANT,antonelli,Mercedes,8.0,20,Race
RUS,russell,Mercedes,6.0,20,Race
HAM,hamilton,Ferrari,4.0,20,Race
OCO,ocon,Haas F1 Team,2.0,20,Race
BOR,bortoleto,Kick Sauber,1.0,20,Race
TSU,tsunoda,Red Bull Racing,0.0,20,Race
ALB,albon,Williams,0.0,20,Race
HAD,hadjar,Racing Bulls,0.0,20,Race
STR,stroll,Aston Martin,0.0,20,Race
GAS,gasly,Alpine,0.0,20,Race
COL,colapinto,Alpine,0.0,20,Race
SAI,sainz,Williams,0.0,20,Race
ALO,alonso,Aston Martin,0.0,20,Race
HUL,hulkenberg,Kick Sauber,0.0,20,Race
LAW,lawson,Racing Bulls,0.0,20,Race
